brand,price
porsche,12309.713274336284
mini,9222.30325443787
land_rover,9049.962441314554
jeep,7675.866290018833
jaguar,7206.21
audi,6837.197250342602
bmw,6734.407780417745
mercedes_benz,6346.872674087917
skoda,6290.581814089579
dacia,5994.645746164575
chevrolet,5936.270755422588
hyundai,5577.498036415566
kia,5490.958156779661
toyota,5041.509046718877
volkswagen,4942.680703892194
nissan,4716.915060072646
volvo,4631.255729794933
seat,4492.438358778626
suzuki,4306.673176335439
subaru,4214.189716312057
chrysler,4171.549242424242
alfa_romeo,4100.348365276212
mazda,4088.262174940898
honda,4076.4377041530565
saab,4029.0501193317423
smart,3922.7428259087183
citroen,3769.2968790978234
ford,3616.830108359133
lada,3594.5539568345325
peugeot,3452.829002206423
mitsubishi,3393.0151989271344
opel,3153.0693395382136
fiat,3103.0645705521474
renault,2656.654620123203
lancia,2621.6957831325303
trabant,2479.8
daihatsu,2164.6611226611226
rover,1569.8823529411766
daewoo,1086.654794520548
