,DateCrawled,Price,VehicleType,RegistrationYear,Gearbox,Power,Model,Mileage,RegistrationMonth,FuelType,Brand,NotRepaired,DateCreated,NumberOfPictures,PostalCode,LastSeen
count,354369,354369.0,316879,354369.0,334536,354369.0,334664,354369.0,354369.0,321474,354369,283215,354369,354369.0,354369.0,354369
unique,15470,,8,,2,,250,,,7,40,2,109,,,18592
top,05/03/2016 14:25,,sedan,,manual,,golf,,,petrol,volkswagen,no,03/04/2016 00:00,,,07/04/2016 07:16
freq,66,,91457,,268251,,29232,,,216352,77013,247161,13719,,,654
mean,,4416.656775846645,,2004.234447708462,,110.0943366942368,,128211.17253484363,5.7146449040407035,,,,,0.0,50508.68908679935,
std,,4514.158513895533,,90.22795785100556,,189.85040513977083,,37905.34152975143,3.726420966934916,,,,,0.0,25783.09624821722,
min,,0.0,,1000.0,,0.0,,5000.0,0.0,,,,,0.0,1067.0,
25%,,1050.0,,1999.0,,69.0,,125000.0,3.0,,,,,0.0,30165.0,
50%,,2700.0,,2003.0,,105.0,,150000.0,6.0,,,,,0.0,49413.0,
75%,,6400.0,,2008.0,,143.0,,150000.0,9.0,,,,,0.0,71083.0,
max,,20000.0,,9999.0,,20000.0,,150000.0,12.0,,,,,0.0,99998.0,
