,price,vehicle_type,registration_year,gearbox,power,model,mileage,registration_month,fuel_type,brand,not_repaired
count,326826.0,291577,326826.0,309248,326826.0,308294,326826.0,326826.0,295704,326826,260399
unique,,8,,2,,250,,,7,40,2
top,,sedan,,manual,,golf,,,petrol,volkswagen,no
freq,,83602,,248135,,26444,,,200260,69992,225970
mean,4403.747330383751,,2004.2309852949277,,110.2447051336185,,128144.07360491516,5.696238977315146,,,
std,4518.209808099133,,91.12001805183671,,195.88637287776868,,37947.663920058636,3.7241215560846697,,,
min,0.0,,1000.0,,0.0,,5000.0,0.0,,,
25%,1000.0,,1999.0,,69.0,,125000.0,3.0,,,
50%,2700.0,,2003.0,,105.0,,150000.0,6.0,,,
75%,6350.0,,2008.0,,141.0,,150000.0,9.0,,,
max,20000.0,,9999.0,,20000.0,,150000.0,12.0,,,
