,modelo,tiempo_entrenamiento_s,tiempo_prediccion_s,RMSE,logaritmico
0,Regresión Lineal,0.372,0.0647,3060.6223,False
1,Regresión Lineal (log),0.711,0.0507,5.762930581907668e-11,True
2,Árbol de Regresión,0.771,0.171,2335.5843,False
3,Árbol de Regresión (log),0.723,0.0562,120.1818,True
4,Bosque Aleatorio,10.9,0.15,2258.302,False
5,Bosque Aleatorio (log),4.59,0.0503,118.2869,True
6,CatBoost,23.9,0.137,1622.306,False
7,CatBoost (log),12.0,0.117,5001.0582,True
8,XGBoost,7.57,0.384,1605.2631,False
9,XGBoost (log),3.67,0.198,43.7402,True
10,LightGBM,10.6,1.21,1569.2482,False
11,LightGBM (log),5.19,0.296,21.0746,True
